product_id,detail_url,title,price,category,competitor,productnummer,merk,zoeknummer,Energielabel,Materiaal,Hoogte,Kleur,Breedte,Woonstijlen,Snoerloos,Lengte,Fitting,Diameter,Producttype,Serie,Voeding,Vermogen,Geschikt voor,Geschikt voor buiten,Geschikt voor binnen,Uitschuifbaar,In hoogte verstelbaar,Dimbaar,Exclusief,Korting,Vorm,Gewicht,Diepte,Inclusief,Voor wie,Aantal,Inclusief stekker,Designer,Leeftijd,Type Lichtbron,Inclusief Fitting,Inclusief Plafondkap,Garantie,Verstelbaar,Snoer,Snoerlengte,Inclusief Snoer,Gemonteerd,Draadloos,Onderhoudsgevoelig,Vorstbestendig,Waterbestendig,Vaatwasserbestendig,Elektrisch,Woonstijlen1,Weergave,Inhoud,Batterijen Inclusief,Lichtbron Inclusief,Inclusief Lichtbron,Draagkracht,Waterdichtheid,Weerbestendig,Zitdiepte,Zithoogte,Armhoogte,Armleuningbreedte,Armleuning,Hoogte Rugleuning,Vulling Materiaal,Soort Stof,Hoogte Armleuning,Armbreedte,Geimpregneerd,Geiimpregneerd,Inclusief binnenkussen,Zitcomfort,Kleur wijzerplaat,Zitbreedte,Armleuning Hoogte,Inclusief Kussens,Afneembaar,Wasinstructie,Woonstijl,Branders,Soort activiteit,Collectie,Onderstel,Vervaardigd in,Zithoogte ,Dessin,Laagpolig of hoogpolig,Digitaal verzonden,Geschikt als speelkleed,Aantal fotovakjes
30432,https://www.vtwonen.nl/shop/laforma-odalis-wandlamp-metaal-o-16-5-cm-wit,"LaForma Odalis Wandlamp Metaal ø 16,5 cm - Wit","39,49",wall_lights,vtonen,176608,LaForma,166608,a++,Metaal,"26,5 cm",Wit,,,,15 cm,E14,"16,5 cm",,Jet,,25 Watt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399176,https://www.vtwonen.nl/shop/nordal-wandlamp-cylinders-glas-metaal-goud-25-x-25-x-11-cm,Nordal Wandlamp Cylinders Glas/Metaal Goud - 25 x 25 x 11 cm,"215,00",wall_lights,vtonen,228364,Nordal,218364,,glas,25 cm,Goud,,Industrieel,,200 cm,E14,,,,,25 Watt,,,,,,,,,,"1,34 kg",11 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226316,https://www.vtwonen.nl/shop/woood-pien-wandlamp-metaal-zwart,Woood Pien Wandlamp Zwart - Metaal,"49,00",wall_lights,vtonen,215829,Woood,205829,a++,Metaal,,Zwart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78760,https://www.vtwonen.nl/shop/hay-noc-wandlamp-donkergrijs,Hay Noc Wandlamp - Donkergrijs,"145,00",wall_lights,vtonen,204469,Hay,194469,,Alumimium,25 cm,Grijs,14 cm,,,,E14,,,,,,,,,,,,,,,,12 cm,Lichtbron en snoer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226332,https://www.vtwonen.nl/shop/woood-gabber-wandlamp-metaal-wit,Woood Gabber Wandlamp Metaal - Wit,"29,95",wall_lights,vtonen,215797,Woood,205797,a++,Metaal,,Wit,,Basic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157991,https://www.vtwonen.nl/shop/vestbjerg-neon-wandlamp-hart,Vestbjerg Neon Wandlamp - Hart,"9,98",wall_lights,vtonen,206455,Vestbjerg,196455,,Kunststof,,Roze,29 cm,,,"37,5 cm",,,,,,,,,,,,,,,,,,,voor kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38643,https://www.vtwonen.nl/shop/dutchbone-devi-wandlamp-metaal-53-x-50-cm-groen,Dutchbone Devi Wandlamp Metaal 53 x 50 cm - Groen,"139,00",wall_lights,vtonen,195111,Dutchbone,185111,,Metaal,53 cm,Groen,38 cm,,,50 cm,E27,,Wandlamp,lucide coffee,230 Volt,25 Watt,Binnen,,,,,,Lichtbron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33888,https://www.vtwonen.nl/shop/leitmotiv-study-clip-on-wandlamp-metaal-34-x-11-5-cm-zwart,"Leitmotiv Study Clip on Wandlamp Metaal 34 x 11,5 cm - Zwart","20,95",wall_lights,vtonen,177557,Leitmotiv,167557,,Metaal,34 cm,Zwart,,,,,E27,"11,5 cm",,Elephant,,11 Watt,,nee,ja,nee,ja,nee,Lichtbron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62614,https://www.vtwonen.nl/shop/it-s-about-romi-madrid-wandlamp-ijzer-zwart,It's About Romi Madrid Wandlamp Ijzer - Zwart,"45,00",wall_lights,vtonen,196618,It's about RoMi,186618,a++,Metaal,14 cm,Grijs,,,,190 cm,E27,,,,,60 Watt,Binnen gebruik,,,,,,,,,"0,8 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227923,https://www.vtwonen.nl/shop/it-s-about-romi-brisbane-wandlamp-18x19-cm-wit,It's About Romi Brisbane Wandlamp 18x19 cm - Wit,"179,00",wall_lights,vtonen,220253,It's about RoMi,210253,a++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62617,https://www.vtwonen.nl/shop/it-s-about-romi-london-wandlamp-ijzer-h-16-cm-x-o-16-cm-zwart,It's About Romi London Wandlamp Ijzer h 16 cm x Ø 16 cm - Zwart,"125,10",wall_lights,vtonen,196615,It's about RoMi,186615,a++,Metaal,16 cm,Groen,44 cm,,,180 cm,E27,16 cm,,,,25w,Binnen gebruik,,,,,,,,,"1,2 kg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40816,https://www.vtwonen.nl/shop/eglo-priddy-wand-en-plafondlamp-zwart,Eglo Priddy Wand- en plafondlamp - Zwart,"27,95",wall_lights,vtonen,142174,Eglo,132174,a++,Metaal,"21,5 cm",Zwart,,,Ja,13 cm,E27,,,,,1x40 watt,Binnengebruik,,,,,,Lichtbron,,,750 gr,20 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227907,https://www.vtwonen.nl/shop/it-s-about-romi-nottingham-wandlamp-24x44-cm-grijsgroen,It's About Romi Nottingham Wandlamp 24x44 cm - Grijsgroen,"99,00",wall_lights,vtonen,220269,It's about RoMi,210269,a++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
