product_id,detail_url,title,price,category,competitor,materiaal,kleur,afmeting,details,onderhoudsvoorschriften
DEQ16PRI61724-82787,https://www.westwingnow.nl/vloerlamp-vivi-66252.html?simple=DEQ16PRI61724-82787,Vloerlamp Vivi,99.-,floor_lights,westwingnow,Lampenkap: textielLampvoet: metaal,Lampvoet: koperkleurigLampenkap buitenkant: witLampenkap binnenkant: witSnoer: wit,"Totaal: 158 cmLampenkap: Ø 40 cm, H 28 cmLampvoet: Ø 70 cmSnoer: L 200 cm","VloerlampDe aan-/uitschakelaar bevindt zich via de voetschakelaar aan het snoer.Benodigd peertje: E27, maximaal 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL6LIT02-121Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ14BRI33329-13250,https://www.westwingnow.nl/booglamp-claire-11491.html?simple=DEQ14BRI33329-13250,Booglamp Claire,109.-,floor_lights,westwingnow,Lampenkap: textielLampvoet: verchroomd metaalDiffuser: kunststof,Lampenkap: grijsFrame: verchroomd metaalkleurig,"Totaal:B 113 cm, H 180 cm, D 36 cmLampenkap: Ø 36 cmSnoerlengte: 200 cm","Booglamp met diffuserschijf.Niet in hoogte verstelbaar.1 benodigd peertje: E27, max. 60 W, is niet bij de levering inbegrepen.Aan-/ uitschakelen via de voetschakelaar aan het snoer.Producent en productnummer:Brilliant, 13258/22Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ15POR83890-47247,https://www.westwingnow.nl/vloerlamp-giovanna-37946.html?simple=DEQ15POR83890-47247,Vloerlamp Giovanna,99.-,floor_lights,westwingnow,Frame: zwart verchroomd staalLampenkap: nylon,Frame: zwart-chroomkleurigLampenkap buitenkant: zwartLampenkap binnenkant: koperkleurig,"Totaal: Ø 45 cm, H 154 cmLampenkap: Ø 45 cm, H 22 cmSnoerlengte: 200 cm","Vloerlamp, niet in hoogte verstelbaar.1 benodigd peertje: E27, max. 60 Watt, is niet bij de levering inbegrepen.De aan-/uitschakelaar bevindt zich via de voetschakelaar op het snoer.Producent en productnummer:Wlabels GmbH, DEL4LIT01-139.Geschikt voor peertjes met een energieklasse van A++ tot en met E.Wordt exclusief peertje geleverd",
DEQ17PRI43662-104718,https://www.westwingnow.nl/vloerlamp-wilson-83935.html?simple=DEQ17PRI43662-104718,Vloerlamp Wilson,99.-,floor_lights,westwingnow,Lampvoet: metaalLampenkap: glasSnoer: textiel,"Lampvoet: zwartLampenkap: wit, goudkleurigSnoer: zwart","Totaal: B 28 cm, H 153 cm, D 23 cmSnoer: 200 cm","Vloerlamp met 90° horizontaal en 350° verticaal draaibare lampenkap.1 benodigd peertje,  G9, max. 15 W, is niet bij de levering inbegrepen.Aan-/uitschakelen via de voetschakelaar aan het snoer.Producent en productnummer:Wlabels GmbH, DEL7LIT01-106.Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ16PRI82809-82783,https://www.westwingnow.nl/vloerlamp-ylva-66248.html?simple=DEQ16PRI82809-82783,Vloerlamp Ylva,79.-,floor_lights,westwingnow,Lampenkap: textielLampvoet: metaal,Lampvoet: koperkleurigLampenkap buitenzijde:witLampenkap binnenzijde:witSnoer: wit,"Totaal: H 158 cmLampenkap: Ø 38 cm, H 30 cmSnoer: L 200 cm","Vloerlamp.1 benodigd peertje: E27, max. 40 W, is niet bij de levering inbegrepen.Aan/uitschakelen via de voetschakelaar aan het snoer.Producent en productnummer: Wlabels GmbH, DEL6LIT02-121Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18AND43573-108864,https://www.westwingnow.nl/vloerlamp-nathan-87335.html?simple=DEQ18AND43573-108864,Vloerlamp Nathan,99.-,floor_lights,westwingnow,Lampvoet: verchroomd metaalLampenkap: linnen,Lampvoet: chroomkleurigLampenkap: witSnoer: transparant,"Totaal: H 175 cmLampenkap: Ø 46 cm, H 28 cm, D 26 cmSnoer: L 200 cm","Vloerlamp1 benodigd peertje: E 27, max. 100 W, is niet bij de levering inbegrepen.Aan-/uitschakelen via de voetschakelaar aan het snoer.Productent en productnummer: Wlabels GmbH, DEL7ARC01-107Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ16PRI91815-83535,https://www.westwingnow.nl/vloerlamp-ella-66893.html?simple=DEQ16PRI91815-83535,Vloerlamp Ella,129.-,floor_lights,westwingnow,"Lampvoet: metaal, houtLampenkap: textiel","Lampvoet: grijs, houtkleurigLampenkap buitenkant: grijsLampenkap binnenkant: witSnoer: zwart","Totaal: Ø 63 cm, H 151 cmLampenkap: Ø 50 cm, H 28 cmSnoerlengte: 120 cm","Vloerlamp, niet in hoogte verstelbaar.De aan-/uitschakelaar bevindt zich via de voetschakelaar aan het snoer.1 benodigd peertje: E27, maximaal 60W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL6LIT04-154Geschikt voor peertjes met een energieklasse van A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ17BRI83887-95803,https://www.westwingnow.nl/vloerlamp-grazia-76458.html?simple=DEQ17BRI83887-95803,Vloerlamp Grazia,94.-,floor_lights,westwingnow,Gelakt metaal,"Lampvoet en lampenkap: zwartBevestiging: goudkleurig, matLampenkap binnenkant: wit","Totaal: B 39 cm, H 144 cm, D 35 cmSnoerlengte: 250 cm","Vloerlamp met 360 graden draaibare lampenkap.Aan-uitschakelaar aan de kabel met de voet.Benodigd peertje: E27, maximaal 60 W. Wordt niet  meegeleverd.Energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18JEL65673-125932,https://www.westwingnow.nl/vloerlamp-jake-100391.html?simple=DEQ18JEL65673-125932,Vloerlamp Jake,179.-,floor_lights,westwingnow,Lampenkap: katoenLampvoet: gepoedercoat metaal,Lampenkap buitenzijde: zwartLampenkap binnenzijde: witLampvoet: mat zwartSnoer: zwart,"Totaal: H 154 cmLampenkap: Ø 50 cm, H 30 cmSnoerlengte: 210 cm","Vloerlamp, niet in hoogte verstelbaar.Aan-/uitschakelen per voetschakelaar op het snoer.1 benodigd peertje: E 27, max. 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL8LIT06-102Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ14NLX78878-15497,https://www.westwingnow.nl/led-vloerlamp-nexus-10-13279.html?simple=DEQ14NLX78878-15497,LED vloerlamp Nexus 10,77.-,floor_lights,westwingnow,Frame en lampenkap: gepoedercoat metaalScharnier: vermessingd metaal,Frame en lampenkap: zwartHanger: messingkleurig,"Totaal: Ø 26 cm, H 142 cmSnoerlengte: L 250 cm","LED-vloerlamp met draaibare lampenkap.Design Bønnelycke mdd.De diffuser kan optioneel worden verwijderd.Aan/uit schakelaar op de lampenkap.1 benodigd LED peertje: GU10, 6 W is bij de levering inbegrepen.Productent en productnummer:Nordlux, 77294003Deze lamp is geschikt voor peertjes van energieklassen A++ tot A.Wordt geleverd inclusief een peertje van de energieklasse A+.",Afnemen met een droge doek.
DEQ18MIR53140-108572,https://www.westwingnow.nl/vloerlamp-harlow-87119.html?simple=DEQ18MIR53140-108572,Vloerlamp Harlow,199.-,floor_lights,westwingnow,Lampenkap: kalkoenveren Lampvoet: vermessingt metaalSnoer: textiel,Lampenkap: crèmekleurigLampvoet: messingkleurigSnoer: zwart,"Totaal: H 152 cmLampenkap: Ø 50 cm, H 41 cmSnoer: L 210 cm","VloerlampOmdat veren natuurproducten zijn, kunnen er afwijkingen in kleur en vorm voorkomen.1 benodigd peertje: E27, max. 40 W, is niet bij de levering inbegrepen.Aan-/uitschakelen via de voetschakelaar aan het snoer.Productent en productnummer:Wlabels GmbH, DEL7CIM01-116Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ18MAR72084-106120,https://www.westwingnow.nl/vloerlamp-minna-85028.html?simple=DEQ18MAR72084-106120,Vloerlamp Minna,94.-,floor_lights,westwingnow,Lampvoet: vermessingd metaalLampenkap: opaalglasSnoer: textiel omhuld,Lampvoet: messingkleurigLampenkap: opaalwitSnoer: zwart,"Totaal: Ø 22 cm, H 144 cmSnoerlengte: 200 cm","VloerlampAan/uit schakelen via de wipschakelaar op de fitting.1 benodigd peertje: E14, max. 40 W, is niet bij de levering inbegrepen.Producent en productnummer:Markslöjd, 106867Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met B.Wordt exclusief peertje geleverd.",
DEQ18MAR52635-116552,https://www.westwingnow.nl/vloerlamp-chester-93549.html?simple=DEQ18MAR52635-116552,Vloerlamp Chester,119.-,floor_lights,westwingnow,Gelakt messing,Lampenkap buitenzijde: bronskleurigLampenkap binnenzijde: wit Lampvoet bovenste deel: zwart Lampvoet onderste deel: bronskleurig,"Totaal: B 25 cm, H 105 - 135 cm, D 54 cmSnoer: L 200 cm","Verticaal verstelbare vloerlamp1 benodigd peertje: E27, max. 40 W, is niet bij de levering inbegrepen.Lampenkap is 360° draaibaar.De aan-/uitschakelaar bevindt zich via de wipschakelaar aan het snoer.Producent en productnummer:Markslöjd, 107231Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ17BY478939-105316,https://www.westwingnow.nl/vloerlamp-emilie-84469.html?simple=DEQ17BY478939-105316,Vloerlamp Emilie,149.-,floor_lights,westwingnow,Lampenkap: katoenmixLampvoet: metaal,Lampenkap: witLampvoet: goudkleurigSnoer: transparant,"Totaal: H 150 cmLampenkap: Ø 36 cm, H 23 cmSnoer: L 200 cm","Vloerlamp.1 benodigd peertje: E27, max. 40 W, is niet bij de levering inbegrepen.Aan-/uitschakelen via de voetschakelaar aan het snoer.Producent en productnummer:Wlabels GmbH, DEL7LIT04-111.Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ16PRI05087-82786,https://www.westwingnow.nl/vloerlamp-vivi-66251.html?simple=DEQ16PRI05087-82786,Vloerlamp Vivi,119.-,floor_lights,westwingnow,Lampenkap: textielLampvoet: metaal,Lampvoet: chroomkleurigLampenkap buitenkant: witLampenkap binnenkant: witSnoer: wit,"Totaal: 158 cmLampenkap: Ø 40 cm, H 28 cmLampvoet: Ø 70 cmSnoer: L 200 cm","Vloerlamp, niet in hoogte verstelbaar.De aan-/uitschakelaar bevindt zich via de voetschakelaar aan het snoer.Benodigd peertje: E27, maximaal 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL6LIT02-121Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ17EGL21924-99752,https://www.westwingnow.nl/vloerlamp-camporale-79796.html?simple=DEQ17EGL21924-99752,Vloerlamp Camporale,127.-,floor_lights,westwingnow,Lampenkap buitenzijde: polyesterLampenkap binnenzijde: kunststofLampvoet: gelakt staal,Lampenkap buitenzijde: ZwartLampenkap binnenzijde: GoudkleurigLampvoet: Goudkleurig,"Totaal: Ø 45 cm, H 154 cmSnoerlengte: 250 cm","VloerlampAan/uit schakelen per voetschakelaar op het snoer.1 benodigd peertje, E27, max. 60 W, is niet bij de levering inbegrepen.Producent en productnummer: Eglo, 39231.Deze lamp is geschikt voor peertjes met energieklasses A++ tot en met E.Wordt geleverd exclusief peertje.",
DEQ16POR85178-71792,https://www.westwingnow.nl/vloerlamp-giovanna-57838.html?simple=DEQ16POR85178-71792,Vloerlamp Giovanna,99.-,floor_lights,westwingnow,Frame: verschroomd staalLampenkap: nylon,Frame: chroomkleurigLampenkap buitenzijde: witLampenkap binnenzijde: goudkleurig,"Totaal: Ø 45 cm, H 154 cmLampenkap: Ø 45 cm, H 22 cmSnoerlengte: 200 cm","Vloerlamp, niet in hoogte verstelbaar.1 benodigd peertje: E27, maximaal 60 W, is niet bij de levering inbegrepen.Aan-uitschakelen per voetschakelaar aan het snoer.Productent en productnummer:Wlabels GmbH, DEL4LIT01-133.Deze lamp is geschikt voor peertjes met energieklassen A++ tot en met E.Wordt exclusief peertje geleverd.",
DEQ16PRI95963-82751,https://www.westwingnow.nl/vloerlamp-dita-66221.html?simple=DEQ16PRI95963-82751,Vloerlamp Dita,59.-,floor_lights,westwingnow,Lampvoet: metaalLampenkap: textiel,Lampvoet: chroomkleurigLampenkap buitenkant: grijsLampenkap binnenkant: witSnoer: zwart,"Totaal: H 160 cmLampenkap: Ø 35 cm, H 30 cmSnoer: L 200 cm","Vloerlamp, niet in hoogte verstelbaarDe aan-/uitschakelaar bevindt zich via de voetschakelaar aan het snoer.Benodigd peertje: E27, maximaal 60 W, is niet bij de levering inbegrepen.Producent en productnummer:Wlabels GmbH, DEL6LIT01-106Deze lamp is geschikt voor peertjes met energieklasse A++ tot en met E.Wordt exclusief peertje geleverd.",
