product_id,detail_url,title,price,category,competitor,Breedte,Fitting,Hoogte,Lichtbron meegeleverd,Materiaal,Productnummer,EAN Code,Aantal lichtbronnen,Dimbaar,Dimmer,Kleur,Kleurtint,Lichtbron,Diameter,Snoerlengte in meters,Bestelcode,Garantie,Productserie,Vermogen (in Watt),Diepte,Gewicht in kg,Type lamp,Vorm,Maat,IP-waarde,Materiaal type,Elektrische vereisten,Ruimte,Voltage,Automatische uitschakeling,Snoerloos,Dimmer voor de lichtintensiteit,Soort,Klemlamp,Kleurtemperatuur,Lengte,Branduren,Oplaadbaar,Brandstof,Type,Type/uitvoering,Draadloos,Energielabel,Stroomvoorziening,Meegeleverd in de doos,Kooldraad,Onderstel,Lichtkleur,Aantal delen,Geschenkverpakking,Lumen,Batterijtechnologie,Gewicht in gr,Type bureau accessoire,Lichtkleur EN 123646-1,Geschikt voor binnen / buiten,Philips Hue Lijn,Philips Serie,Geschikt voor badkamer,Functie verlichting,12v aansluiting,Lichtrichting,Oplaadtijd (in uren),Sensor,Type verlichting,Designers,Accuduur,Kleur frame,Type lampaccessoire,In hoogte verstelbaar,Slaapkamer stijl,Vaatwasserbestendig,Draagbaar,Soort speaker,Speaker type,Streaming Audio type,Type design,Dikte,Draadloze techniek,Filament,Glas lichtbron,Smart functies,Smart,Wandlamp aansluiting,Ingebouwde verlichting,Nominale levensduur lamp,Waterproof,Allergievrij,Hardheid,Hoofdbord,Kleur poten,Model,Tijk,Type boxspring,Type matras,Type slaper,Verstelbare bedbodem,Vulling,Wasbare hoes,Gemonteerd bij levering,Geschikt voor verstelbare bedbodems,Zitbreedte,Zitdiepte,Zithoogte,Materiaal onderstel,Materiaal zitting,Maximale draagkracht,Aantal latten/schotels,Max. gewicht,Type kern boxspring,Type vering matras,Afmetingen uitgeklapt,Frame materiaal,Armleuning,Stapelbaar,Armhoogte,Kleur onderstel,Kleur zitting,Hoogte armleuning,Wielen,Type tuinstoel,Afmetingen zitvlak,Zitting,Kleur Zitschaal,Type fauteuil,Type bank,Ingebouwde pomp,Afstandsbediening,Aantal personen,Kleur snoer,Kleur fitting,Formaat,Hangend,Timer,Type feestverlichting,Materiaal tafelblad,Max Belastbaarheid,Type spot,Wandbevestiging,Opbergruimte,Lades,Leeftijd,Dessin Vloerkleden,Type vloerkleed,Droogvoorschriften,Wasvoorschriften,Type decoratie kinderkamer
210040,https://www.fonq.nl/product/eth-concrete-straight-vloerlamp/210040/,ETH Concrete Straight Vloerlamp,"100,95


125,-",floor_lights,fonq,13 cm,E27,134 cm,Nee,"Marmer, Metaal",199010,8719075183670,1,Ja,Geschikt voor dimmer,"Grijs, Zwart",,"Halogeen, LED, Spaarlamp",,"1,1",05-VL8176-30,2 jaar,Concrete Straight,60,13 cm,,Vloerlamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295744,https://www.fonq.nl/product/light-living-lampvoet-midway-grijs-m/295744/,Light & Living Lampvoet MIDWAY - grijs - M,"147,95",floor_lights,fonq,41 cm,E27,49 cm,Nee,,2_025364,8717807107413,,,Geschikt voor dimmer,Grijs,Grijs,Exclusief,41 cm,,,,,40,41 cm,,,,41 x 41 cm,,,,,,,,,,,,41 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277487,https://www.fonq.nl/product/steinhauer-zenith-vloerlamp-zwart/277487/,Steinhauer Zenith Vloerlamp Zwart,"379,95",floor_lights,fonq,28 cm,Ingebouwd (LED),187 cm,Ja,Metaal,2_010017,8712746118551,1,,Ingebouwde dimmer,Zwart,Zwart,LED,28 cm,,,,,22,,,,,,,,,,,,,,,,,28 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328998,https://www.fonq.nl/product/steinhauer-capri-vloerlamp-rvs/328998/,Steinhauer Capri Vloerlamp RVS,"329,95",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295882,https://www.fonq.nl/product/light-living-lampvoet-mouflon-antiek-bruin-l/295882/,Light & Living Lampvoet MOUFLON - Antiek-Bruin - L,"130,95",floor_lights,fonq,56 cm,E27,45 cm,Nee,,2_025502,8717807041380,,,Geschikt voor dimmer,Bruin,Bruin,Exclusief,14 cm,,,,,40,14 cm,,,,56 x 14 cm,,,,,,,,,,,,56 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276516,https://www.fonq.nl/product/freelight-vloerlamp-vicenza-beton-grijs/276516/,Freelight Vloerlamp Vicenza Beton Grijs,"139,-",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285247,https://www.fonq.nl/product/kare-design-vloerlamp-mars-rood-zwart-frame/285247/,Kare Design - Vloerlamp Mars - Rood - Zwart Frame,"299,-",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336343,https://www.fonq.nl/product/light-living-vloerlamp-cody-mat-wit/336343/,Light & Living Vloerlamp CODY - mat wit,"52,95",floor_lights,fonq,22 cm,E27,145 cm,Nee,Metaal,2_063106,8717807201432,1,,Geschikt voor dimmer,Wit,Wit,Exclusief,18 cm,,,,,40,18 cm,,,,22 x 18 cm,,,,,,,,,,,,22 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290045,https://www.fonq.nl/product/eth-vloerlamp-acate-xl/290045/,ETH Vloerlamp Acate XL,"199,95",floor_lights,fonq,30 cm,E27,175 cm,Nee,Metaal,2_021127,8719075185445,1,,Geschikt voor dimmer,"Koper, Zwart",,"LED, Spaarlamp",30 cm,,,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329059,https://www.fonq.nl/product/steinhauer-zenith-vloerlamp-brons/329059/,Steinhauer Zenith Vloerlamp Brons,"349,95",floor_lights,fonq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
