product_id,detail_url,title,price,category,competitor,Hoogte armleuning,Afmetingen,Zithoogte,Zitdiepte,Ruimte,Materiaal,Garantie,Merk,Categorie,Productsoort,Herkomst,Productfamilie,Zitbreedte,Ontwerper,Stofsoorten,Dimtechniek,Snoerlengte (in cm),Waterdichtheid,Lichtrichting,Bediening,Dimbaar,Lichtbron,Plafondkapje,Aanbevolen lichtbron,Fitting,Opmerking,Soort lichtbron,Kleurtemperatuur,Energielabel,Stapelbaar tot,Stekker,Productiemethode
56648,https://www.flinders.nl/fabulaliving-daphne-vloerkleed-200x300,Daphne vloerkleed 200x300,1.469,rugs,flinders,,(l) 300.00 x (b) 200.00 cm,,,Alleen geschikt voor binnen,"Canvas, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56653,https://www.flinders.nl/fabulaliving-angelica-vloerkleed-170x240,Angelica vloerkleed 170x240,1.149,rugs,flinders,,(l) 240.00 x (b) 170.00 cm,,,Alleen geschikt voor binnen,"Viscose, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
24849,https://www.flinders.nl/moooi-carpets-hexagon-carpet-vloerkleed,Hexagon Carpet vloerkleed 400x347,2.749,rugs,flinders,,(l) 400.00 x (b) 347.00 cm,,,Alleen geschikt voor binnen,PA (kunststof),2 jaar,Moooi Carpets,,,Nederland,,,Studio Job,,,,,,,,,,,,,,,,,,Machinaalgeweven
39991,https://www.flinders.nl/carl-hansen-nup004-woodlines-vloerkleed-200x300,NUP004 Woodlines vloerkleed 200x300,2.563,rugs,flinders,,(l) 300.00 x (b) 200.00 cm,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Carl Hansen & Son,,,Denemarken,,,Naja Utzon Popov,,,,,,,,,,,,,,,,,,
47322,https://www.flinders.nl/normann-copenhagen-pavilion-vloerkleed-300x400,Pavilion vloerkleed 300x400,2.415,rugs,flinders,,(l) 400 x (b) 300 cm,,,Alleen geschikt voor binnen,Bamboe,2 jaar,Normann Copenhagen,,Normann Copenhagen vloerkleden,Denemarken,Normann Copenhagen Pavilion,,Britt Bonnesen,,,,,,,,,,,,,,,,,,
56495,https://www.flinders.nl/fabulaliving-balder-vloerkleed-170x240,Balder vloerkleed 170x240,859,rugs,flinders,,(l) 240.00 x (b) 170.00 cm,,,Alleen geschikt voor binnen,"Katoen, Linnen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Jens Landberg Schrøder,,,,,,,,,,,,,,,,,,Handgeweven
56892,https://www.flinders.nl/massimo-bamboo-vloerkleed-170x240,Bamboo vloerkleed 170x240,1.170,rugs,flinders,,(b) 170.00 x (d) 240.00 cm,,,Alleen geschikt voor binnen,Bamboe,1 jaar,Massimo,,Massimo vloerkleden,Denemarken,Massimo Bamboo,,,,,,,,,,,,,,,,,,,,Handgeweven
60822,https://www.flinders.nl/design-house-stockholm-basket-vloerkleed-245x245,Basket vloerkleed 245x245,1.839,rugs,flinders,,,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Design House Stockholm,,Design House Stockholm vloerkleden,Zweden,Design House Stockholm Basket,,Lena Bergström,,,,,,,,,,,,,,,,,,
61037,https://www.flinders.nl/moooi-carpets-garden-of-eden-round-250-wol,Garden of Eden Round Netting vloerkleed 250 wol,3.199,rugs,flinders,,(Ø) 250 cm,,,Alleen geschikt voor binnen,Wol,2 jaar,Moooi Carpets,,,Nederland,,,Edward van Vliet,,,,,,,,,,,,,,,,,,Machinaalgeweven
61794,https://www.flinders.nl/fabula-living-myrtus-vloerkleed-200x300,Myrtus vloerkleed 200x300,1.099,rugs,flinders,,(b) 200.00 x (h) 300.00 cm,,,Alleen geschikt voor binnen,"Katoen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Lisbet Friis,,,,,,,,,,,,,,,,,,Handgeweven
56491,https://www.flinders.nl/fabulaliving-balder-vloerkleed-140x200,Balder vloerkleed 140x200,599,rugs,flinders,,(l) 200.00 x (b) 140.00 cm,,,Alleen geschikt voor binnen,"Canvas, Katoen, Wol",1 jaar,Fabula Living,,Fabula Living Vloerkleden,Denemarken,,,Jens Landberg Schrøder,,,,,,,,,,,,,,,,,,Handgeweven
