product_id,detail_url,title,price,category,competitor,product_type,Ladehoogte (binnenkant),Lengte,Breedte,Hoogte,Ladebreedte (binnenkant),Ladediepte (binnenkant),Verhoogd hoofdeinde,Matraslengte,Matrasbreedte,description,Verhoogd voeteneinde,Vrije hoogte onder meubel,"Hoogte, 2 bedden",Diepte,Zitdiepte,Zithoogte,Hoogte armleuning,Hoogte inclusief rugkussens,Breedte armleuning,Zitbreedte,Hoogte rugleuning,Aantal zitplaatsen,Max. hoogte,Min. zithoogte,Max. zithoogte,Diameter,Hoogte lampenkap,Snoerlengte,Diameter lampenkap,Vermogen,Dikte,Aantal per verpakking,Diameter voet,Breedte lampenkap,Bedbreedte,Bedlengte,Lengte uitgeklapt,Breedte uitgeklapt,Min. diepte,Max. diepte,Diepe chaise longue,"Zitdiepte, chaise longue",Matrasdikte,Bedhoogte,Breedte rechts,Breedte links,Max. zitdiepte,Min. zitdiepte,Oppervlak,Min. poolhoogte,Min. oppervlakte,Min. lengte,Zitbreedte rechts,Zitbreedte links,Min. breedte,Max. breedte,"Zitbreedte, chaise longue",Min. hoogte,Lengte ketting,Diameter wandbevestiging,Verzinkingsdiameter,Max. diameter,Totale hoogte,Max. belasting/fauteuilonderstel,Max. belasting,Max. lengte,Inhoud
60342487,https://www.ikea.com/nl/nl/catalog/products/60342487/,VÄXJÖ,29.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, blauw",,,,,,,,,,"De lamp geeft een aangenaam licht tijdens het eten en verspreidt een goed, gericht licht over de eettafel of de bartafel.",,,,,,,,,,,,,,,,38 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40394284,https://www.ikea.com/nl/nl/catalog/products/40394284/,VÄXJÖ,39.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, beige",,,,,,,,,,"De lamp geeft een aangenaam licht tijdens het eten en verspreidt een goed, gericht licht over de eettafel of de bartafel.",,,,,,,,,,,,,,,,50 cm,,1.5 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70311697,https://www.ikea.com/nl/nl/catalog/products/70311697/,SINNERLIG,49.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, bamboe",,,,,,,,,,"Designer Ilse Crawford heeft deze lamp ontworpen van gevlochten bamboe. Het materiaal geeft een warm, uitnodigend schijnsel en zorgt voor decoratieve lichtpatronen in de kamer. Elke lamp is handgemaakt en uniek.",,,,,,,,,,,,,,,,50 cm,,1.1 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00322901,https://www.ikea.com/nl/nl/catalog/products/00322901/,SLÄTTBO,24.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, koperkleur",,,,24 cm,,,,,,,,,,,,,,,,,,,,,,14.5 cm,,1.8 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40152280,https://www.ikea.com/nl/nl/catalog/products/40152280/,BÖJA,59.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, rotan bamboe",,,,,,,,,,"Elke handgemaakte lampenkap is uniek. Geeft een zacht glanzend licht, dat je huis een warme en uitnodigende sfeer geeft.",,,,,,,,,,,,,,,,,,160 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30147166,https://www.ikea.com/nl/nl/catalog/products/30147166/,OTTAVA,29.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, aluminium",,,,,,,,,,Elke lampenkap van mondgeblazen glas is uniek. Kan bijvoorbeeld boven de eettafel worden gebruikt omdat het licht naar beneden gericht is.,,,,,,,,,,,,,1 m 58 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00361308,https://www.ikea.com/nl/nl/catalog/products/00361308/,OTTAVA,29.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, zwart",,,,,,,,,,Elke lampenkap van mondgeblazen glas is uniek. Kan bijvoorbeeld boven de eettafel worden gebruikt omdat het licht naar beneden gericht is.,,,,,,,,,,,,,,,,,,1.2 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50394368,https://www.ikea.com/nl/nl/catalog/products/50394368/,OTTAVA,29.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, messingkleur",,,,,,,,,,Elke lampenkap van mondgeblazen glas is uniek. Kan bijvoorbeeld boven de eettafel worden gebruikt omdat het licht naar beneden gericht is.,,,,,,,,,,,,,,,,,,1.2 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50070651,https://www.ikea.com/nl/nl/catalog/products/50070651/,KNAPPA,19.95/st.00008Prijs per set,pendant_lights,ikea,"Hanglamp, wit",,,,,,,,,,Geeft zachte sfeerverlichting.,,,,,,,,,,,,,1 m 90 cm,,,46 cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20342470,https://www.ikea.com/nl/nl/catalog/products/20342470/,VINTERGATA,29.95/st.00008Prijs per set,pendant_lights,ikea,Hanglamp,,,,,,,,,,"Om de lampenkap van de VINTERGATA lamp te maken, wordt o.a. gerecycleerde PET (kunststof) gebruikt van 24 halveliterflessen. De lampekap zorgt voor een gezellige verlichting - en draagt bij aan een duurzamer wereld.",,,,,,,,,,,,,,,,42 cm,,1.6 m cm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
