sku,product_id,detail_url,title,price,competitor,height,width,weight,packaging_dimensions,colour,materials
BEDSKY017GRY-ME,33221,skye-kingsize-bed-met-berging-160-x-200cm-in-tingrijs,"Skye kingsize bed met berging 160 x 200cm, tingrijs",84900,made,128,173,95.5000,Box 1: 39 x 225 x 22.5 cm. Box 2: 132 x 172 x 13 cm. Box 3: 27 x 203 x 9 cm. Box 4: 83 x 205 x 3 cm.,Grijs,
BEDSKY018GRY-ME,33226,skye-tweepersoonsbed-met-berging-140-x-200-cm-in-tingrijs,"Skye tweepersoonsbed met opbergruimte 140 x 200 cm, tingrijs",89900,made,128,150,65.0000,Box 1 : 39 x 225 x 22.5 cm. Box 2: 132 x 152 x 13 cm. Box 3 : 27 x 203 x 9 cm. Box 4 : 73 x 205 x 3 cm.,Grijs,
BEDSKY022GRY-ME,39587,skye-super-kingsize-bed-180-x-200cm-met-opbergruimte-tingrijs,"Skye super kingsize bed 180 x 200cm met opbergruimte, tingrijs",94900,made,128,196,116.0000,Pakket 1: 242 x 39 x 23cm <br>  Pakket 2: 194 x 13 x 132cm <br>  Pakket 3: 203 x 27 x 9cm <br>  Pakket 4: 205 x 93 x 3cm,Grijs,
BEDSKY023GRY-ME,39588,skye-super-kingsize-bed-180-x-200cm-met-opbergruimte-uilgrijs,"Skye super kingsize bed 180 x 200cm met opbergruimte, uilgrijs",94900,made,128,196,116.0000,Pakket 1: 242 x 39 x 23cm <br>  Pakket 2: 194 x 13 x 132cm <br>  Pakket 3: 203 x 27 x 9cm <br>  Pakket 4: 205 x 93 x 3cm,Grijs,
BEDSKY024GRY-ME,39589,skye-super-kingsize-bed-180-x-200cm-tingrijs,"Skye super kingsize bed 180 x 200cm, tingrijs",79900,made,128 ,194,55.0000,Pakket 1: 222 x 32 x 22cm   Pakket 2: 194 x 12 x 115cm,Grijs,
BEDSKY025GRY-ME,39590,skye-super-kingsize-bed-180-x-200cm-uilgrijs,"Skye super kingsize bed 180 x 200cm, uilgrijs",79900,made,128 ,194,55.0000,Pakket 1: 222 x 32 x 22cm <br>   Pakket 2: 194 x 12 x 115cm,Grijs,
BEDSKY031CRE-ME,40075,skye-super-kingsize-bed-180-x-200cm-zacht-creme,"Skye super kingsize bed 180 x 200cm, zacht crème",79900,made,128 ,194,55.0000,1 : 222 x 32 x 22 cm <br>  2 : 194 x 12 x 115 cm,"Neutraal,Grijs,Beige",
BEDSKY052CRM-ME,45964,skye-euro-double-bed-tulip-cream,"Skye eurotweepersoonsbed, crèmewit",64900,made,128,150,54.7000,0,Crème,Stof
BEDSKY058CRM-ME,45998,skye-tweepersoonsbed-met-berging-140-x-200cm-zacht-creme-1,"Skye tweepersoonsbed met opbergruimte, 140 x 200 cm, zacht crème",81900,made,128,150,54.7000,"Pakket 1: 39 x 225 x 22,5 cm <br>Pakket 2: 132 x 152 x 13 cm <br>Pakket  3: 27 x 203 x 9 cm <br>Pakket 4: 73 x 205 x 3 cm",Crème,
BEDSKY064CRM-ME,46018,skye-super-kingsize-bed-180-x-200cm-zacht-creme-1,"Skye superkingsizebed, 180 x 200 cm, crèmewit",79900,made,128 ,194,55.0000,Pakket 1 : 222 x 32 x 22 cm <br>Pakket 2 : 194 x 12 x 115 cm,Crème,
