country,competitor,category,price,title,width,height,depth,seat_height,material,color
nl,flinders,table_lights,335.0,Artemide Onfale tafellamp,0,0,0,0.0,Glas (geblazen),
nl,flinders,table_lights,314.0,Design House Stockholm Demi tafellamp small,0,0,0,0.0,"Aluminium (metaal), Glas",
nl,flinders,table_lights,149.0,Zuiver Navigator tafellamp,0,0,0,0.0,"Aluminium (metaal), MDF (hout)",
nl,flinders,table_lights,582.01,Foscarini Lumiere Grande tafellamp met dimmer en champagne onderstel,0,0,0,0.0,"Aluminium (metaal), Glas (geblazen)",
nl,flinders,table_lights,609.0,Warm Nordic Silhouette tafellamp,40.0,59.0,36.0,0.0,"Messing, Staal, Textiel",
nl,flinders,table_lights,395.0,Secto Design Teelo 8020 tafellamp,33.0,11.0,33.0,0.0,"Berken (hout), Walnoot (hout)",
nl,flinders,table_lights,129.9,Dutchbone Falcon tafellamp,0,0,0,0.0,"Aluminium (metaal), Staal (gepoedercoat)",
nl,flinders,table_lights,496.1,Foscarini Plass Media tafellamp met dimmer,0,0,0,0.0,"PC (kunststof), Staal",
nl,flinders,table_lights,380.0,Kartell Taj tafellamp LED,0,0,0,0.0,PMMA (kunststof),
nl,flinders,table_lights,141.0,Frandsen Outlet - Cool tafellamp antique brass,0,0,0,0.0,Metaal,
nl,flinders,table_lights,826.66,Diesel Fork tafellamp,0,0,0,0.0,Stof,
nl,flinders,table_lights,0.0,Zuiver Outlet - Moody tafellamp zwart,0,0,0,0.0,"Aluminium (metaal), MDF (hout)",
nl,flinders,table_lights,469.48,Moooi Double Round Light tafellamp,0,0,0,0.0,"Katoen, Metaal",
nl,flinders,table_lights,310.0,Artemide Decompose tafellamp,0,0,0,0.0,,
nl,flinders,table_lights,119.0,HKliving Triangle tafellamp,0,0,0,0.0,Metaal,
nl,flinders,table_lights,314.0,Marset FollowMe Plus tafellamp LED ,0,0,0,0.0,"Eiken (fineer), Messing, Multiplex, Opaal glas, PC (kunststof)",
nl,flinders,table_lights,296.0,Tom Dixon Stone tafellamp,0,0,0,0.0,"Glas, Marmer, Messing",
nl,flinders,table_lights,144.9,HKliving Stoneware tafellamp M,0,0,0,0.0,,
nl,flinders,table_lights,689.7,Flos Ktribe T2 tafellamp,0,0,0,0.0,"Aluminium (metaal), PC (kunststof), PMMA (kunststof)",
nl,flinders,table_lights,513.0,Gubi Tynell 5321 tafellamp,0,0,0,0.0,Messing,
nl,flinders,table_lights,71.0,It's about Romi Outlet - Athens tafellamp wit,0,0,0,0.0,Marmer,
nl,flinders,table_lights,72.99,Zuiver Highland tafellamp,0,0,0,0.0,"Hout, Metaal, Rubber, Textiel",
nl,flinders,table_lights,390.0,Artemide Yanzi tafellamp LED,0,0,0,0.0,"Glas (geblazen), Messing",
nl,flinders,table_lights,159.0,Seletti Bouche tafellamp,0,0,0,0.0,"Glas, Hout",
nl,flinders,table_lights,503.32,Ingo Maurer One From The Heart tafellamp,0,0,0,0.0,"Glas, Metaal, Plastic",
nl,flinders,table_lights,349.0,Kartell Planet tafellamp LED,0,0,0,0.0,"Aluminium (metaal), Plastic",
nl,flinders,table_lights,247.0,Kartell Toobe tafellamp,0,0,0,0.0,"PC (kunststof), PMMA (kunststof)",
nl,flinders,table_lights,435.0,Artemide Laguna 26 tafellamp,0,0,0,0.0,"Aluminium (metaal), Glas (geblazen)",
nl,flinders,table_lights,79.0,Seletti Mouse Lamp Step tafellamp,0,0,0,0.0,Hars,
nl,flinders,table_lights,427.06,Ingo Maurer My New Flames USB tafellamp LED,9.0,40.0,9.0,0.0,"Metaal, Plastic",
nl,flinders,table_lights,99.0,Dutchbone Julius tafellamp,0,0,0,0.0,Metaal (gepoedercoat),
nl,flinders,table_lights,525.14,Lumina Daphine tafellamp LED,55.0,45.0,11.0,0.0,"Metaal, Plastic",
nl,flinders,table_lights,262.0,Forestier Papillon tafellamp,42.0,65.0,30.0,0.0,"Metaal, Textiel",
nl,flinders,table_lights,113.0,Kartell Outlet - Taj Mini tafellamp zwart,0,0,0,0.0,PMMA (kunststof),
nl,flinders,table_lights,169.0,Flos Gatto tafellamp,0,0,0,0.0,"Glasvezel, Staal",
nl,flinders,table_lights,594.84,Foscarini Lumiere 25th Piccola tafellamp met aan-/uitschakelaar,0,0,0,0.0,,
nl,flinders,table_lights,340.63,Foscarini Anisha tafellamp LED,0,0,0,0.0,"ABS (kunststof), Glas (geblazen), PC (kunststof)",
nl,flinders,table_lights,467.0,Kartell Planet High tafellamp LED,0,0,0,0.0,"Aluminium (metaal), Plastic",
nl,flinders,table_lights,79.0,Seletti Mouse Lamp Lop tafellamp,0,0,0,0.0,Hars,
nl,flinders,table_lights,497.0,Tecnolumen Wagenfeld WA23 SW tafellamp,0,0,0,0.0,"Glas, Metaal",
nl,flinders,table_lights,260.0,Marset Dipping Light tafellamp LED,0,0,0,0.0,"Glas (geblazen), Messing",
nl,flinders,table_lights,247.0,Forestier Bamboo Light tafellamp medium,0,0,0,0.0,"Bamboe, Textiel",
nl,flinders,table_lights,555.0,Vitra Akari 3AD tafellamp,0,0,0,0.0,"Bamboe, Shoji-papier, Staal",
nl,flinders,table_lights,491.0,Kartell Tatì tafellamp,0,0,0,0.0,ABS (kunststof),
nl,flinders,table_lights,147.44,Frandsen Armstrong tafellamp,0,0,0,0.0,"Beton, Metaal",
nl,flinders,table_lights,518.57,Foscarini Lumiere Grande tafellamp met aan-/uitschakelaar en champagne onderstel,0,0,0,0.0,"Aluminium (metaal), Glas (geblazen)",
nl,flinders,floor_lights,2940.42,Moooi Construction Lamp vloerlamp medium,0,0,0,0.0,"Aluminium (metaal), Hout",
nl,flinders,floor_lights,684.86,Flos Shade vloerlamp LED,0,0,0,0.0,"Aluminium (metaal), Papier",
nl,flinders,floor_lights,306.0,Frandsen Giraffe vloerlamp,0,0,0,0.0,"Eiken (hout), Metaal, Textiel",
